x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
336883.246219, 3449219.7721, 14.900363397, 0.649999976158, -0.344727748579, 0.178808487293, 0.0, 1600653323.1711, 0.163579247207, 1, 148.69420005, 0.0, 0.0, 91.9270858765
336883.250904, 3449219.77283, 14.9005290672, 0.629999995232, -0.344783844587, 0.178808487293, 0.0, 1600653323.1815, 0.165404630109, 1, 148.70050005, 0.0, 0.0, 91.9270858765
336883.255549, 3449219.77359, 14.9007055272, 0.629999995232, -0.364369167183, 0.178808487293, 0.0, 1600653323.1913, 0.167220521922, 1, 148.70680005, 0.0, 0.0, 91.9270858765
336883.260155, 3449219.77436, 14.9008827164, 0.629999995232, -0.374618462493, 0.178808487293, 0.0, 1600653323.2013, 0.169037626399, 1, 148.71310005, 0.0, 0.0, 91.9270858765
336883.264717, 3449219.77514, 14.90105056, 0.629999995232, -0.444392423702, 0.178808487293, 0.0, 1600653323.2116, 0.170813527553, 1, 148.71940005, 0.0, 0.0, 91.9270858765
336883.269234, 3449219.77593, 14.9012070628, 0.610000014305, -0.411342402263, 0.178808487293, 0.0, 1600653323.2213, 0.17260003762, 1, 148.72550005, 0.0, 0.0, 91.9270858765
336883.273707, 3449219.77673, 14.901353348, 0.610000014305, -0.467919755019, 0.178808487293, 0.0, 1600653323.2314, 0.17436317984, 1, 148.73160005, 0.0, 0.0, 91.9270858765
336883.278133, 3449219.77752, 14.9014896894, 0.610000014305, -0.452246760987, 0.178808487293, 0.0, 1600653323.2412, 0.176148650507, 1, 148.73770005, 0.0, 0.0, 91.9270858765
336883.282516, 3449219.77831, 14.9016203863, 0.610000014305, -0.426113218792, 0.178808487293, 0.0, 1600653323.2511, 0.177909508966, 1, 148.74380005, 0.0, 0.0, 91.9270858765
336883.286858, 3449219.77908, 14.9017482942, 0.610000014305, -0.413674595438, 0.178808487293, 0.0, 1600653323.2611, 0.17968731766, 1, 148.74990005, 0.0, 0.0, 91.9270858765
336883.29116, 3449219.77985, 14.9018690939, 0.610000014305, -0.443181227296, 0.178808487293, 0.0, 1600653323.2713, 0.181515997517, 1, 148.756000051, 0.0, 0.0, 91.9270858765
336883.29542, 3449219.7806, 14.9019836386, 0.610000014305, -0.406295269477, 0.178808487293, 0.0, 1600653323.2813, 0.183309787438, 1, 148.762100051, 0.0, 0.0, 91.9270858765
336883.299642, 3449219.78133, 14.9020999612, 0.610000014305, -0.416099909686, 0.178808487293, 0.0, 1600653323.2913, 0.185143912354, 1, 148.768200051, 0.0, 0.0, 91.9270858765
336883.303824, 3449219.78205, 14.9022179917, 0.589999973774, -0.409273318745, 0.178808487293, 0.0, 1600653323.3014, 0.186962154419, 1, 148.774100051, 0.0, 0.0, 91.9270858765
336883.307967, 3449219.78276, 14.9023401679, 0.589999973774, -0.388808236765, 0.178808487293, 0.0, 1600653323.3111, 0.188795268437, 1, 148.78000005, 0.0, 0.0, 91.9270858765
336883.312073, 3449219.78347, 14.9024650838, 0.589999973774, -0.366698693449, 0.178808487293, 0.0, 1600653323.3211, 0.190596576776, 1, 148.78590005, 0.0, 0.0, 91.9270858765
336883.316142, 3449219.78417, 14.9025860978, 0.589999973774, -0.374206029667, 0.178808487293, 0.0, 1600653323.3312, 0.192388225984, 1, 148.79180005, 0.0, 0.0, 91.9270858765
336883.320174, 3449219.78487, 14.9027056939, 0.569999992847, -0.357892929932, 0.178808487293, 0.0, 1600653323.3412, 0.194166098938, 1, 148.79750005, 0.0, 0.0, 91.9270858765
336883.32417, 3449219.78557, 14.9028269807, 0.569999992847, -0.355417759862, 0.178808487293, 0.0, 1600653323.3514, 0.195889898382, 1, 148.80320005, 0.0, 0.0, 91.9270858765
336883.32813, 3449219.78627, 14.9029519375, 0.569999992847, -0.344194095559, 0.178808487293, 0.0, 1600653323.3612, 0.197589253791, 1, 148.80890005, 0.0, 0.0, 91.9270858765
336883.332054, 3449219.78697, 14.9030806303, 0.569999992847, -0.354693472429, 0.178808487293, 0.0, 1600653323.3712, 0.199252418776, 1, 148.814600049, 0.0, 0.0, 91.9270858765
336883.335941, 3449219.78768, 14.9032129984, 0.550000011921, -0.33380531695, 0.178808487293, 0.0, 1600653323.3813, 0.200876427074, 1, 148.82010005, 0.0, 0.0, 91.9270858765
336883.339792, 3449219.7884, 14.9033502861, 0.550000011921, -0.364291327826, 0.178808487293, 0.0, 1600653323.3912, 0.202422949538, 1, 148.82560005, 0.0, 0.0, 91.9270858765
336883.343604, 3449219.78912, 14.9034871816, 0.550000011921, -0.368593840238, 0.178808487293, 0.0, 1600653323.4011, 0.203941960481, 1, 148.83110005, 0.0, 0.0, 91.9270858765
336883.347378, 3449219.78985, 14.9036208531, 0.550000011921, -0.357804162454, 0.178808487293, 0.0, 1600653323.4112, 0.205419651014, 1, 148.83660005, 0.0, 0.0, 91.9270858765
336883.351114, 3449219.79059, 14.9037498202, 0.52999997139, -0.37337957105, 0.178808487293, 0.0, 1600653323.4213, 0.20687719835, 1, 148.84190005, 0.0, 0.0, 91.9270858765
336883.35481, 3449219.79133, 14.9038730073, 0.52999997139, -0.400517863918, 0.178808487293, 0.0, 1600653323.4314, 0.208278603051, 1, 148.847200049, 0.0, 0.0, 91.9270858765
336883.358466, 3449219.79206, 14.9039963772, 0.52999997139, -0.390717574869, 0.178808487293, 0.0, 1600653323.4411, 0.2096694109, 1, 148.852500049, 0.0, 0.0, 91.9270858765
336883.362083, 3449219.79279, 14.904121585, 0.52999997139, -0.382909747137, 0.178808487293, 0.0, 1600653323.4512, 0.211070744751, 1, 148.857800049, 0.0, 0.0, 91.9270858765
336883.365661, 3449219.79352, 14.904246916, 0.52999997139, -0.397753579475, 0.178808487293, 0.0, 1600653323.4611, 0.212459506759, 1, 148.863100049, 0.0, 0.0, 91.9270858765
336883.369199, 3449219.79425, 14.9043748768, 0.52999997139, -0.412447198783, 0.178808487293, 0.0, 1600653323.4713, 0.21384606368, 1, 148.868400048, 0.0, 0.0, 91.9270858765
336883.372697, 3449219.79496, 14.9045061316, 0.52999997139, -0.406394853081, 0.178808487293, 0.0, 1600653323.4812, 0.215240071469, 1, 148.873700048, 0.0, 0.0, 91.9270858765
336883.376155, 3449219.79567, 14.9046343796, 0.52999997139, -0.391741811692, 0.178808487293, 0.0, 1600653323.4912, 0.216671033535, 1, 148.879000048, 0.0, 0.0, 91.9270858765
336883.379576, 3449219.79637, 14.9047539338, 0.509999990463, -0.394762111795, 0.178808487293, 0.0, 1600653323.5012, 0.218080870736, 1, 148.884100048, 0.0, 0.0, 91.9270858765
336883.382959, 3449219.79705, 14.9048668556, 0.509999990463, -0.390029179596, 0.178808487293, 0.0, 1600653323.5112, 0.219532163442, 1, 148.889200047, 0.0, 0.0, 91.9270858765
336883.386305, 3449219.79773, 14.9049753271, 0.509999990463, -0.375698846073, 0.178808487293, 0.0, 1600653323.5213, 0.220986634754, 1, 148.894300047, 0.0, 0.0, 91.9270858765
336883.389615, 3449219.7984, 14.9050778345, 0.509999990463, -0.350821389443, 0.178808487293, 0.0, 1600653323.5312, 0.222445384048, 1, 148.899400047, 0.0, 0.0, 91.9270858765
336883.392892, 3449219.79907, 14.9051703744, 0.5, -0.330845655861, 0.178808487293, 0.0, 1600653323.5410, 0.223894726035, 1, 148.904400047, 0.0, 0.0, 91.9270858765
336883.396136, 3449219.79974, 14.9052524084, 0.5, -0.296676024428, 0.178808487293, 0.0, 1600653323.5512, 0.225347256951, 1, 148.909400047, 0.0, 0.0, 91.9270858765
